category,subcategory,ITEM DESCRIPTION
DOORS,WOODEN DOORS,"Wood doors,residential, exterior,combination storm & screen,pine,full lite,
2055 mm x 815 mm wide,hardware & frame not included"
DOORS,WOODEN DOORS,"Wood doors,interior,closet bi-fold,w/hardware,no frame or trim included,
flush, 1980 mm or 2035 mm high  x 1220 mm wide"
DOORS,WOODEN DOORS,"Wood doors,residential, exterior,combination storm & screen,pine,full lite,
2135 mm x 915 mm wide,hardware & frame not included"
DOORS,WOODEN DOORS,"Wood doors,interior closet,bi-fold,w/hardware,no frame or trim included,
flush, 1980 mm or 2035 mm  high  x 1525 mm wide"
DOORS,SLIDING DOORS,
DOORS,SLIDING DOORS,"Sliding vinyl clad door, 25 mm insulated glass, 1836 mm x 2440 mm high"
DOORS,HARDWARE,
DOORS,HARDWARE,"Complete hardware set for exterior door including 3 hinges,keyed lockset,with handle,weather stripping &exterior pull  bar"
DOORS,HARDWARE,"Complete hardware set,interior door including 6 hinges,lockset keyed with handles and floor door stop"
FINISHES,,
FINISHES,PLASTERING,
FINISHES,PLASTERING,"Cement plaster on exterior concrete or masonry walls, 3 coats including accessories & GROOVES"
FINISHES,PLASTERING,"Cement plaster on exterior concrete or masonry walls, 3 coats including accessories WITHOUT GROOVES"
FINISHES,PLASTERING,"PLASTERING FOR PAINT
Cement plaster on interior concrete or masonry walls, 3 coats including accessories"
FINISHES,PLASTERING,"PLASTERING UNDER CERAMIC
Cement plaster on interior concrete or masonry walls, 3 coats including accessories"
FINISHES,CERAMIC,
FINISHES,CERAMIC,"Ceramic tile base 300 mm x 100 mm high, thin set"
FINISHES,CERAMIC,"Ceramic tile interior wall,with thin set 200 x 200 mm glazed"
FINISHES,CERAMIC,"Flooring,ceramic,100 mm x 200 mm x 13 mm thick,unglazed, morter bed"
FINISHES,TERRAZO,
FINISHES,TERRAZO,"Terrazzo,precast,cove, 150 mm high"
FINISHES,TERRAZO,"Terrazzo,precast,cove, 200 mm high"
FINISHES,TERRAZO,"Terrazzo,floor tiles,non-slip 25 mm thick, 300 mmx 300 mm"
FINISHES,CEILING,
FINISHES,CEILING,"Ceilings,gypsum drywall,fire rated,finished,screwed to grid channel or joists, 13 mm or 16 mm thick"
FINISHES,CEILING,"Ceilings,grid suspension system,direct hung, 3 8 mm or 90 mm cold rolled channel, with 22 mm hi hat furring channel, 610 mm O.C."
FINISHES,CEILING,"Suspended ceilings complete,mineral fiber,cement binder,T bar suspension 610 mm x 1220 mm x 16 mm board"
FINISHES,CEILING,Gypsum Cornice with paint
FINISHES,CEILING,"Suspended ceilings complete,metal pan with acoustic pad,steel, Aluminium or stainless steel."
FINISHES,GRANITE & MARBLE,
FINISHES,GRANITE & MARBLE,"Marble tile 400 mm x 400 mm x 20 mm , morter set"
FINISHES,GRANITE & MARBLE,"Marble tile Thersholds , morter set"
FINISHES,GRANITE & MARBLE,"Granite floor, 300 mm x 300 mm x 20 mm thick."
FINISHES,GRANITE & MARBLE,"Granite floor, 400 mm x 400 mm x 30 mm thick."
FINISHES,GRANITE & MARBLE,"Marble stair tread 300 mm & riser 160 mm high, from 1.2 meter up to 1.8 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair tread 300 mm & riser 160 mm high, up to 1 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair tread 300 mm, up to 1 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair riser 160 mm high, up to 1 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair tread 300 mm & riser 160 mm high, from 1.2 meter up to 1.8 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair tread 300 mm, from 1.2 meter up to 1.8 meter long."
FINISHES,GRANITE & MARBLE,"Granite stair riser 160 mm high, from 1.2 meter up to 1.8 meter long."
FINISHES,VINYL SKIRTING,
FINISHES,VINYL SKIRTING,"Resilient base,cove,rubber or vinyl,  to 3 mm thick,standard colors,upto 
150 mm high"
FINISHES,CARPET,
FINISHES,CARPET,"Carpet,commercial grade,direct cement, Nylon, plush,upto 1700 gram, 
avg size room "
FINISHES,PAINTING,
FINISHES,PAINTING,"Walls,masonry paint,roll,latex,paint, first coat EXTERNAL"
FINISHES,PAINTING,"Walls,masonry paint,roll,latex,paint, second coat EXTERNAL"
FINISHES,PAINTING,"Walls,masonry paint,roll,latex,paint, first coat INTERNAL"
FINISHES,PAINTING,"Walls,masonry paint,roll,latex,paint, second coat INTERNAL"
FINISHES,PAINTING,"Paint concrete,dry wall or plaster,paint  2 coats, smooth finish,roller"
FINISHES,PAINTING,"Concrete, dry wall or plaster, paint 3 coats, smooth finish, roller"
Toilet Accessory,,
Toilet Accessory,,"Curtain rod, stainless steel, 1.5 m long,  32 mm diameter"
Toilet Accessory,,"Grab bar, straight, 32 mm dia., stainless steel, 610 mm long"
Toilet Accessory,,"Mirror with stainless steel frame, 457 mm x 610 mm"
Toilet Accessory,,"Mirror with stainless steel frame, 1220 mm x 610 mm"
Toilet Accessory,,"Mirror with stainless steel frame, 1830 mm x 610 mm"
Toilet Accessory,,"Robe hook, single, heavy duty, concealed mounting"
Toilet Accessory,,"Soap dispenser, chrome, surface mounted, liquid or powder"
Toilet Accessory,,"Soap dish chrome,surface mounted"
Toilet Accessory,,"Toilet tissue dispenser, surface mounted, stainless steel, single roll"
Toilet Accessory,,"Towel bar, stainless steel, 760 mm long"
Toilet Accessory,,"Towel dispenser, stainless steel, surface mounted"
Toilet Accessory,,"Waste receptacles, stainless steel, with top, 50 liter"
ELECTRICAL PRODUCTIVITY,,
ELECTRICAL PRODUCTIVITY,CABLE TRAY LADDER:,
ELECTRICAL PRODUCTIVITY,CABLE TRAY LADDER:,"Cable tray ladder,galv.steel,With fittings & supports, 100 mm deep, 100 mm rung spacing, 300 mm wide; 2 floors building, 4.6 m floor to floor"
ELECTRICAL PRODUCTIVITY,CABLE TRAY LADDER:,"Cable tray ladder,galv.steel,With fittings & supports, 100 mm deep, 100 mm rung spacing, 450 mm wide; 2 floors building, 4.6 m floor to floor"
ELECTRICAL PRODUCTIVITY,CABLE TRAY LADDER:,"Cable tray ladder,galv.steel,With fittings & supports, 100 mm deep, 100 mm rung spacing, 600 mm wide; 2 floors building., 4.6 m floor to floor"
BOARDS,,
BOARDS,CIRCUIT BREAKERS (in enclosure):,
BOARDS,CIRCUIT BREAKERS (in enclosure):,"Circuit Breakers in NEMA 1 enclosure; 600V, 3 pole, 100A"
BOARDS,PANELBOARDS(Commercial use),
BOARDS,PANELBOARDS(Commercial use),"Panel board 3 Phase 4 Wire, 225 Amps Main lugs only (M.L.O); 220/380 Including  30 branches, bolt-on type circuit breakers, 1P-20A"
BOARDS,Electrical testing and commission,
BOARDS,Electrical testing and commission,"Testing for mdp panel board , on off test conductivity"
BOARDS,Electrical testing and commission,"Testing for small panel board , on off test conductivity"
BOARDS,Electrical testing and commission,"Testing for Low voltage cable (Conductivity , megger testing )"
BOARDS,Electrical testing and commission,"Testing for Wiring devices ( on- off , Normal Operation , Sequence)"
BOARDS,Electrical testing and commission,"Testing for lighting fixture ( on- off , Normal Operation , emergency operation , photocell if any )"
BOARDS,Electrical testing and commission,"Testing for fire alarm system ( cable continently , sequence , walk through test )"
BOARDS,Electrical testing and commission,Testing for intercom system
BOARDS,Electrical testing and commission,Testing for T.V
BOARDS,Electrical testing and commission,Testing for Lightinng protection and grounding system by Rod (rod to earth resistance �..etc)
BOARDS,Electrical testing and commission,"Testing for lighting pole (manual-auto operation , grounding �.)"
BOARDS,Electrical testing and commission,"Testing for lighting Control Panel  (manual-auto operation ,Termination , C.B and grounding )"
BOARDS,SWITCHBOARDS:,
BOARDS,SWITCHBOARDS:,"Switchboard incoming main service section, copper bus bars, including CT's  with compartments and Main Air Circuit Breaker draw out Type;127/220 V, 3 Phase 4 Wire, 1600 Amp."
TERMINATIONS,,
TERMINATIONS,CABLE TERMINATIONS:,
TERMINATIONS,CABLE TERMINATIONS:,"Wire connectors, screw type, 0.75 to 6 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Wire connectors, screw -on type, insulated, from  1 to 6 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Wire connectors, screw -on type, insulated, from 2 to 10 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Wire connectors, screw -on type, insulated, from 4 to 16 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solder less for wires, 6 to 25 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solder less for wires, 50 to 70 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solderless for wires, 150 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solderless for wires, 185 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solderless for wires, 240 mm2"
TERMINATIONS,CABLE TERMINATIONS:,"Terminal lugs, solderless for wires, 300 mm2"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations,fittings & supports, 20 mm diameter (3/4"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 25 mm diameter ( 1"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 32 mm diameter (1-1/4"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 38 mm  diameter (1-1/2"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 50 mm  diameter (2"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 63 mm  diameter (2-1/2"")"
TERMINATIONS,CONDUIT IN CONCRETE SLAB:,"Conduit in concrete slab;PVC Sch 40; With terminations, fittings & supports, 75 mm  diameter (3"")"
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022200,
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022201,"Conduit,galvanized rigid steel in trench underground with fittings & terminations,no excavation or backfill, 32 mm diameter (1.5"")"
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022202,"Conduit,galvanized rigid steel in trench underground with fittings & terminations,no excavation or backfill, 50 mm diameter (2"")"
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022203,"Conduit,galvanized rigid steel in trench underground with fittings & terminations,no excavation or backfill, 76 mm diameter (3"")"
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022204,"Conduit,galvanized rigid steel in trench underground with fittings & terminations,no excavation or backfill, 100 mm diameter (4"")"
TERMINATIONS,CONDUIT IN TRENCH:          For excavation or backfill see Div. 022205,"Conduit Electric Metallic Tubing (EMT), exposed,in 2 story building,includes 1 termination,1elbow every 6 meters & 1 clamp every 2.75 m., 20 mm diameter ( 3/4"")"
TERMINATIONS,NON- ARMORED CABLE:,
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 4*6 + 6 mm2, including 2 terminations every 30 m run, conduit length up to 30 meter, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 3 x 25 + 16 mm2, including 2 terminations every 30 m run, conduit length up to 30 meter, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 4 x 50  mm2, including 2 terminations every 30 m run, conduit length up to 30 meter, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 3 x 70 + 35 mm2, including 2 terminations every 30 m run, conduit length up to 30 meter, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 3 x 95 + 50 mm2, including 2 terminations every 30 m run, conduit length up to 30 meter, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 3 x 150 + 70 mm2"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 3 x 240 + 120 mm2"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in c0nduit, copper; 3 x 300 + 150 mm2, including 2 terminations, conduits not included"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 1 x 70 mm2, including 4 terminations per 100 meter"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 1 x 185 mm2, including 2 terminations per 100 meter"
TERMINATIONS,NON- ARMORED CABLE:,"1 KV cable, PVC insulated, PVC Sheath, installed in conduit, copper; 1 x 300 mm2, including 2 terminations per 100 meter"
TERMINATIONS,NON- ARMORED CABLE:,"For cables pulled in more than 30 meter run, add for every extra meter"
TERMINATIONS,WIRES:,
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,    4 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,    6 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,   10 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,   16 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,   25 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,   95 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,  150 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,  240 mm2"
TERMINATIONS,WIRES:,"0.6 To 1 KV, copper wire, THW or THHN, pulled in conduits,  300 mm2"
TERMINATIONS,WIRING DEVICES:,
TERMINATIONS,WIRING DEVICES:,"Lighting switch,toggle,single pole,15A"
TERMINATIONS,WIRING DEVICES:,"Lighting switch,toggle,single pole 2 Way,15A"
TERMINATIONS,WIRING DEVICES:,"Lighting switch,toggle,  3 Way, 15A"
TERMINATIONS,WIRING DEVICES:,"Lighting switch, toggle, 4 Way, 15A"
TERMINATIONS,WIRING DEVICES:,"Lighting switch, toggle, 2 gange ,2 Way, 15A"
TERMINATIONS,WIRING DEVICES:,"Lighting switch, toggle,0 A,  230 V,  intermediate"
TERMINATIONS,WIRING DEVICES:,Water Heater switch 2 pole 1 way 20A
TERMINATIONS,WIRING DEVICES:,Fan motor switch with overload protection/Fan regulator
TERMINATIONS,WIRING DEVICES:,"Dimmer switch, 120V, 1000 watt incandescent, 1 pole"
TERMINATIONS,WIRING DEVICES:,"Dimmer switch, 120 V, 2000 watt incandescent, 1 pole"
TERMINATIONS,WIRING DEVICES:,"Duplex  receptacle, 120 or 220 V, grounded, 20 A"
TERMINATIONS,WIRING DEVICES:,"Duplex receptacle, 120 or 220 V, grounded fault interrupting, ""GFI"", 20 A"
TERMINATIONS,WIRING DEVICES:,"Receptacle, single, 250 V, grounded, 30A"
TERMINATIONS,WIRING DEVICES:,"receptacle, single, 250 V, grounded, 50A"
TERMINATIONS,WIRING DEVICES:,"Single interlocking receptacle, ceiling mounted, 120 or 220 V, grounded, 15 A"
TERMINATIONS,WIRING DEVICES:,"Receptacle, corrosion resistant, 20 A, 250 V"
TERMINATIONS,WIRING DEVICES:,Receptacle/ switch cover plate
TERMINATIONS,WIRING DEVICES:,Plug  straight or angle  20 A
TERMINATIONS,WIRING DEVICES:,Plug  straight or angle  30 A
TERMINATIONS,WIRING DEVICES:,Plug  straight or angle  50 A
TERMINATIONS,WIRING DEVICES:,"Connector computer, 3 pole, 4 wire, 20 A"
TERMINATIONS,WIRING DEVICES:,"Connector computer, 3 pole, 4 wire, 60 A"
TERMINATIONS,WIRING DEVICES:,"Connector computer, 3 pole, 4 wire,100 A"
TERMINATIONS,WIRING DEVICES:,"Lampholder,keyless"
TERMINATIONS,SAFETY SWITCHES:,
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 2P-  30 A,NON Fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P-  60 A,fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P-  30 A,NON ,fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P- 100 A,fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P- 200 A,fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P- 400 A,fused."
TERMINATIONS,SAFETY SWITCHES:,"Safety switch, general duty or heavy duty, 600 V, 3P- 600 A,fused."
LIGHTING,,
LIGHTING,EXIT AND EMERGENCY LIGHTING:,
LIGHTING,EXIT AND EMERGENCY LIGHTING:,"Emergency lighting fixture, battery operated, twin sealed beam lights, 25W, 6V  each."
LIGHTING,EXTERIOR FIXTURES:,
LIGHTING,EXTERIOR FIXTURES:,"Exterior lighting fixture with lamp wall mounted, incandescent, 100 W"
LIGHTING,EXTERIOR FIXTURES:,"Exterior lighting fixture, wall pack, discharge lamp up to 250 Watt."
LIGHTING,EXTERIOR FIXTURES:,"Exterior fixture, floodlights with ballast and lamp, pole mounted, pole not included
Mercury Vapor, metal halide or sodium, 175 W"
LIGHTING,EXTERIOR FIXTURES:,"Exterior fixture, floodlights with ballast and lamp, pole mounted, pole not included
Mercury Vapor, metal halide or sodium, 250 W"
LIGHTING,EXTERIOR FIXTURES:,"Exterior fixture, floodlights with ballast and lamp, pole mounted, pole not included
Mercury Vapor, metal halide or sodium, 400 W"
LIGHTING,EXTERIOR FIXTURES:,"Exterior fixture, floodlights with ballast and lamp, pole mounted, pole not included
Mercury Vapor, metal halide or sodium, 1000 W"
LIGHTING,EXTERIOR FIXTURES:,"Exterior fixture, floodlights with ballast and lamp, pole mounted, pole not included
Mercury Vapor, metal halide or sodium, 2000 W"
LIGHTING,EXTERIOR FIXTURES:,Fuse box installation  for all type of lighting pole include gland and termination 
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole,Aluminium, anchor base without concrete,  2.5 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole,Aluminium, anchor base without concrete,  6.0 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole,Aluminium, anchor base without concrete,  9.0 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole,Aluminium, anchor base without concrete,   12 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light pole bracket arms, 1 arm,  Steel or Aluminium"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light pole bracket arms, 2 arms, Steel or aluminium"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light pole bracket arms, 4 arms, Steel or Aluminium"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole, Steel, anchor base without concrete,  2.5 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole, Steel, anchor base without concrete,  6.0 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole, Steel, anchor base without concrete,  9.0 meter  high"
LIGHTING,EXTERIOR FIXTURES:,"Exterior Light Pole, Steel, anchor base without concrete,   12 meter  high"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 300 x 1200 mm, 2 x 40 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 600 x 1200 mm , 2 x 40 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 600 x 1200 mm, 4 x 40 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 600 x 600 mm,  4 x 20 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 190 mm Dia 4 x 20 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture recessed mounted, with lens 1200 x 1200 mm , 8 x 40 watt"
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture surface mounted, with lens & latched door frame, 300 x 1200 mm, 2 x 40 W                                                  "
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture surface mounted, with lens & latched door frame, 600 x 600 mm,  4 x 20 W                                                  "
LIGHTING,INTERIOR LIGHTING FIXTURES (ILF),"Interior fluorescent fixture surface mounted, with lens & latched door frame, 272 mm dia "
LIGHTING,LIGHTNING PROTECTION:,
LIGHTING,LIGHTNING PROTECTION:,"Air terminal, copper, 20 mm installed on roofs 24 meter high above grade"
LIGHTING,LIGHTNING PROTECTION:,"Cable, Copper 70 mm2 fixed with clamps every 2 meter spacing"
LIGHTING,GROUNDING:,
LIGHTING,GROUNDING:,"Ground rod,copper clad, 2.4 m long, 20 mm diameter (3/4""), driven in standard soil."
LIGHTING,GROUNDING:,Lighting pole /outdoor panel grounding rod with cable and welding (complete set ONE ROD ONLY )
LIGHTING,GROUNDING:,"Ground rod,copper clad, 3.0 m long, 20 mm diameter (3/4""), driven in hard/standerd soil."
LIGHTING,GROUNDING:,"Ground rod,copper clad, 3.0 m long, 20 mm diameter (3/4""), driven in hard soil."
LIGHTING,GROUNDING:,"Groundwire,bare copper,  35 mm2"
LIGHTING,GROUNDING:,"Groundwire,bare copper,  50 mm2"
LIGHTING,GROUNDING:,"Groundwire,bare copper,  95 mm2"
LIGHTING,GROUNDING:,"Groundwire,bare copper,  120 mm2"
LIGHTING,GROUNDING:,"Grounding,brazed connections,  16 mm2 cable"
LIGHTING,GROUNDING:,"Grounding,brazed connections,  95 mm2 cable"
LIGHTING,DETECTION SYSTEMS:,
LIGHTING,DETECTION SYSTEMS:,"Detection system, indicating panels, 10 channel"
LIGHTING,DETECTION SYSTEMS:,"Detection system, indicating panels, Main Panel 4 Loop channel"
LIGHTING,DETECTION SYSTEMS:,"Fire alarm, break glass alarm switch"
LIGHTING,DETECTION SYSTEMS:,"Fire alarm, alarm bell"
LIGHTING,DETECTION SYSTEMS:,"Fire alarm heat detector,rate of rise"
LIGHTING,DETECTION SYSTEMS:,"Fire alarm smoke detector,ceiling type"
LIGHTING,DETECTION SYSTEMS:,"Fire alarm smoke detector,duct type"
LIGHTING,DETECTION SYSTEMS:,Fire alarm horn
LIGHTING,SOUND SYSTEM:,
LIGHTING,SOUND SYSTEM:,"Sound system,Master station for intercom of 25 stations."
LIGHTING,SOUND SYSTEM:,"Sound system,intercom outlet, in rigid steel conduit"
LIGHTING,Telephone System:,
LIGHTING,Telephone System:,"Telephone cabinet, indoor 25 pair"
LIGHTING,Telephone System:,"Telephone cabinet, indoor 50 pair"
LIGHTING,Telephone System:,"Telephone cabinet, indoor 100 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 50 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 100 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 200 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 300 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 400 pair"
LIGHTING,Telephone System:,"Telephone cabinet, outdoor 600 pair"
LIGHTING,Telephone Cables.,
LIGHTING,Telephone Cables.,"Telephone cable, 2 pair ,pulled in conduits."
LIGHTING,Telephone Cables.,"Telephone cable, 4 pair"
LIGHTING,Telephone Cables.,"Telephone cable, 6 pair"
LIGHTING,Telephone Cables.,"Telephone cable, 15 pair"
LIGHTING,Telephone Cables.,"Telephone cable, 25 pair"
LIGHTING,Telephone Cables.,"Telephone cable, 50 pair"
