Category,COST ACCOUNT,ITEM,U.O.M.,FOUN.,GF,FF,SF,TF,FOF,RF,BUDGET QTY,ENG. QTY
 NCO ,S1.P3.NCO.4.3.3,"Type A, size 1000 mm x 1000 mm, Sliding, double glazing clear glass",???,, -   , 2.00 , 2.00 , 2.00 , 2.00 , -   , 8.00 , 8.00 
 NCO ,S1.P3.NCO.4.3.4,"Type A, size 1000 mm x 1000 mm, Sliding, double glazing clear glass",???,, -   , 2.00 , 2.00 , 2.00 , 2.00 , -   , 8.00 , 8.00 
 NCO ,S1.P3.NCO.4.3.5,"Type A, 1000 mm x 1200 mm",???,, -   , 2.00 , 2.00 , 2.00 , 2.00 , -   , 8.00 , 8.00 
 NCO ,S1.P3.NCO.4.4.1.1,"Type A, 1700 mm x 2150 mm, double glazing",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.4.4.2.1,"Type B, 1000 mm x 2150 mm, with insulation",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.4.4.2.2,"Type G, 800 mm x 2150 mm, with panic device",???,, 2.00 , -   , -   , -   , -   , 1.00 , 3.00 , 3.00 
 NCO ,S1.P3.NCO.4.4.2.3,"Type B, 1000 mm x 2150 mm, no locking device",???,, -   , -   , -   , -   , -   , 2.00 , 2.00 , 2.00 
 NCO ,S1.P3.NCO.4.4.3.1,"Type F, 2200 mm x 2450 mm",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
 NCO ,S1.P3.NCO.4.5.3,Precast Concrete Coping ,? ?,, -   , -   , -   , -   , -   , 301.64 , 301.64 , 301.64 
 NCO ,S1.P3.NCO.4.6.1,"Stainless Steel Pipe Handrailing, 50 mm dia x 3500 mm long with all fixing & support",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
 NCO ,S1.P3.NCO.4.6.2,Steel Ladder with Handrail Support (40 mm dia x 5500 mm long),???,, -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 
 NCO ,S1.P3.NCO.4.7.1,"TS-A, Building Numbers",???,, -   , -   , -   , -   , 2.00 , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.5.1,Protected Membrane Roofing System on Concrete Slab,?2,, -   , -   , -   , -   , -   ," 1,294.82 "," 1,294.82 "," 1,294.82 "
 NCO ,S1.P3.NCO.5.2,Protected Membrane Roofing on Concrete Slab @ canopy,?2,, -   , 47.33 , -   , -   , -   , -   , 47.33 , 47.33 
 NCO ,S1.P3.NCO.5.4,Liquid applied form Waterproofing @ elevator roof slab,???,, -   , -   , -   , -   , -   , 12.60 , 12.60 , 12.60 
 NCO ,S1.P3.NCO.6.1.1,"Concrete Masonry Unit, 200 mm thick, insulated",?2,, 25.34 , 11.30 , 11.30 , 11.30 , 11.69 , -   , 70.92 , 70.92 
 NCO ,S1.P3.NCO.6.1.2,"Concrete Masonry Unit, 200 mm thick",?2,, 916.95 , 920.43 , 935.71 , 922.10 , 996.33 , -   ," 4,691.52 "," 4,691.52 "
 NCO ,S1.P3.NCO.6.1.3,"Concrete Masonry Unit, 100 mm thick",?2,, 95.49 , 97.22 , 97.22 , 101.99 , 97.22 , -   , 489.13 , 489.13 
 NCO ,S1.P3.NCO.6.2.1.1,"Type C, 1600 mm x 2150 mm",???,, 8.00 , 8.00 , 8.00 , 8.00 , 8.00 , -   , 40.00 , 40.00 
 NCO ,S1.P3.NCO.6.2.2.1,"Type D, 800 mm x 2150 mm, with louver",???,, 24.00 , 24.00 , 24.00 , 24.00 , 24.00 , -   , 120.00 , 120.00 
 NCO ,S1.P3.NCO.6.2.2.2,"Type K, 1200 mm x 2150 mm",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.2.2.3,"Type E, 1000 mm x 2150 mm",???,, 28.00 , 28.00 , 28.00 , 28.00 , 28.00 , -   , 140.00 , 140.00 
 NCO ,S1.P3.NCO.6.2.2.4,"Type E, 900 mm x 2150 mm",???,, 5.00 , 6.00 , 6.00 , 6.00 , 6.00 , -   , 29.00 , 29.00 
 NCO ,S1.P3.NCO.6.2.2.5,"Type E, 800 mm x 2150 mm",???,, 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , -   , 10.00 , 10.00 
 NCO ,S1.P3.NCO.6.2.3.1,"Type H, size 900 mm x 2150 mm, double glazing with vision panel",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.2.3.2,"Type I, size 1300 mm x 2150 mm, fire rated",???,, 3.00 , -   , -   , -   , -   , -   , 3.00 , 3.00 
 NCO ,S1.P3.NCO.6.2.3.3,"Type G, 900 mm x 2100 mm, with panic device",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.2.3.4,"Type J, size 900 mm x 2150 mm, with vision panel ",???,, -   , 2.00 , 2.00 , 2.00 , 2.00 , -   , 8.00 , 8.00 
 NCO ,S1.P3.NCO.6.2.3.5,"Type D, 900 mm x 2150 mm, with louver",???,, -   , 3.00 , 3.00 , 3.00 , 3.00 , -   , 12.00 , 12.00 
 NCO ,S1.P3.NCO. 6.3.1,"Type A, 1300 mm x 1000 mm, Sliding, double glazed, swing type, with openable aluminum louver",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO. 6.3.2,"Type A, 1000 mm x 1000 mm, Sliding, double glazing",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.6.4.1.1,"TA 03, Mirror, size 1200 mm x 600 mm",???,, 7.00 , 7.00 , 7.00 , 7.00 , 7.00 , -   , 35.00 , 35.00 
 NCO ,S1.P3.NCO.6.4.1.2,"TA 11, Soap Dish, ( Ceramic ) ",???,, 7.00 , 7.00 , 7.00 , 7.00 , 7.00 , -   , 35.00 , 35.00 
 NCO ,S1.P3.NCO.6.4.1.3,"TA 20 Robe Hook, S/S",???,, 7.00 , 7.00 , 7.00 , 7.00 , 7.00 , -   , 35.00 , 35.00 
 NCO ,S1.P3.NCO.6.4.1.4," TA25, Towel Bar Holder, S/S",???,, 3.00 , 3.00 , 3.00 , 3.00 , 3.00 , -   , 15.00 , 15.00 
 NCO ,S1.P3.NCO.6.4.1.5," TA 26, Shower Curtain & Rod",???,, 3.00 , 3.00 , 3.00 , 3.00 , 3.00 , -   , 15.00 , 15.00 
 NCO ,S1.P3.NCO.6.4.1.6,"TA 32   Paper Towel Dispenser, Ceramic",???,, 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , -   , 25.00 , 25.00 
 NCO ,S1.P3.NCO.6.4.1.7,"W01   Waste Basket, Plastic 300 mm dia",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.6.4.1.8,"W02, Waste Bin ( 600mm Dia x 750mm Dia)",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.6.4.2.1,"Marble Top, size 1200 mm x 600 mm x 30 mm Thick",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.4.2.2,"Marble Top, size 1263 mm x 600 mm x 30 mm Thick",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.5.1,"TS-B, Unit Numbers",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.5.2,"TS-C, Floor Identification",???,, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , -   , 5.00 , 5.00 
 NCO ,S1.P3.NCO.6.5.3,"TS-E, Exit",???,, 4.00 , 1.00 , -   , -   , -   , -   , 5.00 , 5.00 
 NCO ,S1.P3.NCO.6.5.4,"PS-G, Exit (Directional)",???,, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , -   , 30.00 , 30.00 
 NCO ,S1.P3.NCO.6.5.5,"PS-B, Stairs",???,, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , -   , 5.00 , 5.00 
 NCO ,S1.P3.NCO.6.5.6,"PS-D, Floor Number Identification",???,, 5.00 , 3.00 , 5.00 , 5.00 , 5.00 , -   , 23.00 , 23.00 
 NCO ,S1.P3.NCO.6.5.7,"PS-C, Fire Hose Cabinet",???,, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , -   , 5.00 , 5.00 
 NCO ,S1.P3.NCO.6.5.8,"TS-F, In case of fire do not use elevator",???,, 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , -   , 10.00 , 10.00 
 NCO ,S1.P3.NCO.6.5.9,"PS-A, Disabled Accessibility",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
 NCO ,S1.P3.NCO.6.5.10,"PS-F, Janitor Room",???,, -   , 1.00 , 1.00 , -   , 1.00 , -   , 3.00 , 3.00 
 NCO ,S1.P3.NCO.6.5.11,"PS-E, Garbage Chute",???,, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , -   , 5.00 , 5.00 
 NCO ,S1.P3.NCO.6.5.12,"TS-D, Electrical Room",???,, 1.00 , -   , -   , 1.00 , -   , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.6.5.13,"TS-D, Communication Room",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.6.6.1,"  BC 1.9, Base Cabinet, 1900 mm long",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.2,"  BC 2.37, Base Cabinet, 2370 mm long",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.3,"  BC 3.73, Base Cabinet, 3730 mm long",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.4," OC 3.47  Overhead Cabinet, 3470 mm long",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.5," OC 4.18  Overhead Cabinet, 4180 mm long",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.6,"CL1  Closet, Built-In,L 1900 mm @ bedroom",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.7,"CL2  Closet, Built-In,L 2850 mm @ bedroom",???,, 8.00 , 8.00 , 8.00 , 8.00 , 8.00 , -   , 40.00 , 40.00 
 NCO ,S1.P3.NCO.6.6.8,"CL3  Closet, Built-In,L 3800 mm @ bedroom",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.9," CL 4  Closet, Built-In, L 1500 mm @ laundry",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.10," CL5  Closet, Built-In, L 1800 mm @ laundry",???,, 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , -   , 20.00 , 20.00 
 NCO ,S1.P3.NCO.6.6.11," CL6  Closet, Built-In, L 1150 mm @ laundry",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.6.6.12," CL7  Closet, Built-In, L 1750 mm @ laundry",???,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.7.1.2.1,Portland Cement Plaster on concrete and masonry surfaces,?2,, 34.36 , 34.36 , 34.36 , 34.36 , 37.83 , 44.23 , 219.48 , 219.48 
 NCO ,S1.P3.NCO.7.1.2.2,"Painting on cement plaster surfaces, latex aggregate paint",?2,, 21.37 , 21.25 , 21.25 , 21.25 , 24.37 , 39.70 , 149.22 , 149.22 
 NCO ,S1.P3.NCO.7.1.3.1,Granite Tile,?2,, 12.14 , 0.46 , 0.46 , 0.46 , 0.46 , 3.65 , 17.62 , 17.62 
 NCO ,S1.P3.NCO.7.1.3.2,"Granite Stair Landing, 30 mm thick",?2,, 3.44 , 3.61 , 3.61 , 3.61 , 3.61 , -   , 17.86 , 17.86 
 NCO ,S1.P3.NCO.7.1.3.3,"Granite Tread, with 25 mm thick wide rough surfaced anti-slip strip 365 mm x 1300 mm x 30 mm thick",???,, 20.00 , 20.00 , 20.00 , 20.00 , 20.00 , -   , 100.00 , 100.00 
 NCO ,S1.P3.NCO.7.1.3.4,"Granite Riser, 134 mm x 1300 mm x 20 mm thick",???,, 20.00 , 20.00 , 20.00 , 20.00 , 20.00 , -   , 100.00 , 100.00 
 NCO ,S1.P3.NCO.7.1.3.5,"Granite Base, 100 mm high",? ?,, 14.62 , 14.74 , 14.74 , 14.74 , 15.06 , 4.52 , 78.44 , 78.44 
 NCO ,S1.P3.NCO.7.1.4.1,"Painting on fairface concrete surfaces, latex paint",?2,, 13.51 , 13.51 , 13.51 , 13.51 , 17.36 , 15.91 , 87.30 , 87.30 
 NCO ,S1.P3.NCO.7.1.5.1,G.I. Pipe Handrailing 50 mm dia. painted  900 mm high complete with all fixing & support,? ?,, 7.57 , 7.99 , 7.99 , 7.99 , 9.32 , -   , 40.86 , 40.86 
 NCO ,S1.P3.NCO.7.1.5.2,G.I. Pipe Wall Handrailing 50 mm dia. painted complete with all fixing accessories,? ?,, 12.82 , 12.70 , 12.70 , 12.70 , 12.70 , -   , 63.62 , 63.62 
 NCO ,S1.P3.NCO.7.2.2.1,Portland Cement Plaster on concrete and masonry surfaces,?2,, 80.72 , 80.72 , 80.72 , 80.72 , 80.72 , 85.76 , 489.35 , 489.35 
 NCO ,S1.P3.NCO.7.2.2.2,"Painting on cement plaster surfaces, latex aggregate paint",?2,, 81.11 , 82.72 , 82.72 , 82.72 , 83.03 , 85.12 , 497.41 , 497.41 
 NCO ,S1.P3.NCO.7.2.3.1,"Floor Hardener on exposed concrete, epoxy painted",?2,, 41.88 , 12.74 , 12.74 , 12.74 , 15.01 , 6.72 , 101.82 , 101.82 
 NCO ,S1.P3.NCO.7.2.3.2,"Floor Hardener on exposed concrete stair tread, 300 mm x 900 mm; epoxy painted",???,, 34.00 , 34.00 , 34.00 , 34.00 , 36.00 , -   , 172.00 , 172.00 
 NCO ,S1.P3.NCO.7.2.3.3,"Floor Hardener on exposed concrete stair riser, 178 mm x 900 mm; epoxy painted",???,, 40.00 , 40.00 , 40.00 , 40.00 , 44.00 , -   , 204.00 , 204.00 
 NCO ,S1.P3.NCO.7.2.3.4,"Paint Strip, 100 mm high",? ?,, 50.85 , 34.83 , 34.83 , 34.83 , 36.09 , 10.00 , 201.41 , 201.41 
 NCO ,S1.P3.NCO.7.2.4.1,"Painting on fairface concrete surfaces, latex paint",?2,, 22.58 , 22.58 , 22.58 , 22.58 , 22.58 , 30.18 , 143.05 , 143.05 
 NCO ,S1.P3.NCO.7.2.5.1,G.I. Pipe Handrailing 50 mm dia. painted  900 mm high complete with all fixing & support,? ?,, 13.23 , 16.16 , 16.16 , 16.16 , 21.31 , -   , 83.02 , 83.02 
 NCO ,S1.P3.NCO.8.1.1,Portland Cement Plaster on concrete and masonry surfaces,?2,," 3,037.96 "," 3,083.00 "," 3,084.02 "," 3,076.48 "," 3,082.93 ", 322.70 ," 15,687.10 "," 15,687.10 "
 NCO ,S1.P3.NCO.8.1.2,"Painting on cement plaster surfaces, latex aggregate paint",?2,," 2,365.86 "," 2,385.06 "," 2,386.08 "," 2,378.55 "," 2,384.99 ", 322.70 ," 12,223.25 "," 12,223.25 "
 NCO ,S1.P3.NCO. 8.1.3,"Ceramic Tile, Glazed, including mortar bed",?2,, 504.01 , 504.97 , 504.97 , 504.97 , 504.97 , -   ," 2,523.88 "," 2,523.88 "
 NCO ,S1.P3.NCO.8.2.1,"Floor Hardener on exposed concrete, epoxy painted",?2,, 329.00 , 311.93 , 311.93 , 319.25 , 311.93 , -   ," 1,584.03 "," 1,584.03 "
 NCO ,S1.P3.NCO.8.2.2,Terrazzo Tile,?2,, -   , -   , -   , -   , -   , -   , -   , -   
 NCO ,S1.P3.NCO.8.2.3,"Ceramic Tile, Unglazed  ",?2,, 46.90 , 46.90 , 46.90 , 46.90 , 46.90 , -   , 234.49 , 234.49 
 NCO ,S1.P3.NCO.8.2.4,Porcelain Tile,?2,, 413.75 , 422.63 , 422.64 , 416.71 , 422.64 , -   ," 2,098.38 "," 2,098.38 "
 NCO ,S1.P3.NCO.8.2.5,Carpet on screed,?2,, 303.28 , 303.28 , 303.28 , 303.28 , 303.28 , -   ," 1,516.40 "," 1,516.40 "
 NCO ,S1.P3.NCO.8.2.6,Granite Tile,?2,, 69.62 , 55.26 , 55.26 , 55.26 , 55.26 , -   , 290.64 , 290.64 
 NCO ,S1.P3.NCO.8.2.7,"Ceramic Tile, unglazed, including built-up bituminous waterproofing ",?2,, 126.46 , 126.46 , 126.46 , 126.46 , 126.46 , -   , 632.28 , 632.28 
 NCO ,S1.P3.NCO.8.2.8,"Porcelain Base, 100 mm high",? ?,, 348.02 , 348.02 , 348.01 , 348.01 , 348.01 , -   ," 1,740.08 "," 1,740.08 "
 NCO ,S1.P3.NCO.8.2.9,"Granite Base, 100 mm high",? ?,, 20.41 , 20.37 , 20.37 , 20.37 , 20.37 , -   , 101.90 , 101.90 
 NCO ,S1.P3.NCO.8.2.10,"Wood Base, 100 mm high",? ?,, 302.90 , 302.90 , 302.90 , 302.90 , 302.90 , -   ," 1,514.50 "," 1,514.50 "
 NCO ,S1.P3.NCO.8.3.1,Stainless Steel Tile,?2,, 55.15 , 55.15 , 55.15 , 55.15 , 55.15 , -   , 275.76 , 275.76 
 NCO ,S1.P3.NCO.8.3.2,"Gypsum Board Tile, moisture resistant",?2,, 79.47 , 79.47 , 79.47 , 79.47 , 79.47 , -   , 397.36 , 397.36 
 NCO ,S1.P3.NCO.8.3.3,"Painting on fairface concrete surfaces, latex paint",?2,, 824.01 , 811.18 , 811.18 , 812.58 , 811.18 , -   ," 4,070.14 "," 4,070.14 "
 NCO ,S1.P3.NCO.NEW,STEEL GRATING IN PARAPET OPENINGS,???,, -   , -   , -   , -   , -   , 36.00 , 36.00 , 36.00 
OFFICERS APPART.,,,,,,,,,,, -   ,
OFFICERS APPART.,S1.P1.OA.1.8.1,"Interlocking Concrete Pavers, 60 mm thick, including 50 mm sand setting bed, 100 mm aggregate base course, and precast concrete curbstone as per Dwg 1-XG-C-43",?2,, 217.24 , -   , -   , -   , -   , -   , 217.24 , 217.24 
OFFICERS APPART.,S1.P1.OA.4.1.1,"Cavity Wall, 300 mm thick, consists of 100 mm and 150 mm thick concrete masonry units, and 50 mm thick rigid insulation.",? 2,, 515.63 , 553.40 , -   , -   , -   , 10.96 ," 1,079.99 "," 1,079.99 "
OFFICERS APPART.,S1.P1.OA.4.1.2,"Concrete Masonry Unit, 200 mm thick",? 2,, -   , -   , -   , -   , -   , 164.81 , 164.81 , 164.81 
OFFICERS APPART.,S1.P1.OA.4.2.1.1,Portland Cement Plaster on concrete and masonry surfaces with groove,?2,, 927.53 , 782.62 , -   , -   , -   , 388.83 ," 2,098.98 "," 2,098.98 "
OFFICERS APPART.,S1.P1.OA.4.2.1.2,"Painting on cement plaster surfaces, latex aggregate paint",?2,, 927.53 , 782.62 , -   , -   , -   , 388.83 ," 2,098.98 "," 2,098.98 "
OFFICERS APPART.,S1.P1.OA.4.2.2.1,Granite Tile,?2,, 22.30 , -   , -   , -   , -   , -   , 22.30 , 22.30 
OFFICERS APPART.,S1.P1.OA.4.2.2.2,Floor Hardener  with Epoxy Paint ,?2,, 4.50 , -   , -   , -   , -   , -   , 4.50 , 4.50 
OFFICERS APPART.,S1.P1.OA.4.2.2.3,"Granite Tread, 340 mm x 3600 mm x 30 mm thick, with carborundum inserts",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
OFFICERS APPART.,S1.P1.OA.4.2.2.4,"Granite Riser, 130 mm x 3600 mm x 20 mm thick",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
OFFICERS APPART.,S1.P1.OA.4.2.2.5,"Granite Tread, 340 mm x 1450 mm x 30 mm thick, with carborundum inserts",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
OFFICERS APPART.,S1.P1.OA.4.2.2.6,"Granite Riser, 130 mm x 1450 mm x 20 mm thick",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
OFFICERS APPART.,S1.P1.OA.4.2.2.7,"Granite Base, 100 mm high",? ?,, 14.37 , -   , -   , -   , -   , -   , 14.37 , 14.37 
OFFICERS APPART.,S1.P1.OA.4.2.3.1,"Painting on fairface concrete surfaces, latex aggregate paint",?2,, 21.65 , -   , -   , -   , -   , -   , 21.65 , 21.65 
OFFICERS APPART.,S1.P1.OA.4.3.1,"Type A, 1000 mm x 1000 mm",???,, 24.00 , 24.00 , -   , -   , -   , -   , 48.00 , 48.00 
OFFICERS APPART.,S1.P1.OA.4.3.2,"Type B, 400 mm x 600 mm",???,, 12.00 , 12.00 , -   , -   , -   , -   , 24.00 , 24.00 
OFFICERS APPART.,S1.P1.OA.4.3.3,"Type C, 1000 mm x 1000 mm",???,, 8.00 , 9.00 , -   , -   , -   , 1.00 , 18.00 , 18.00 
OFFICERS APPART.,S1.P1.OA.4.3.4,"Type D, 400 mm x 600 mm",???,, 4.00 , 4.00 , -   , -   , -   , -   , 8.00 , 8.00 
OFFICERS APPART.,S1.P1.OA.4.3.5,"Type E, 1000 mm x 1000 mm",???,, 8.00 , 8.00 , -   , -   , -   , -   , 16.00 , 16.00 
OFFICERS APPART.,S1.P1.OA.4.3.6,"Type F, 400 mm x 600 mm",???,, 4.00 , 4.00 , -   , -   , -   , -   , 8.00 , 8.00 
OFFICERS APPART.,S1.P1.OA.4.3.7,"Type G, 4000 mm x 1150 mm",???,, -   , 1.00 , -   , -   , -   , -   , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.4.4.1.1,"Type A, 4000 mm x 2150 mm, with fixed side panel",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.4.4.2.1,"Type B, 1200 mm x 2150 mm",???,, 1.00 , -   , -   , -   , -   , 1.00 , 2.00 , 2.00 
OFFICERS APPART.,S1.P1.OA.4.4.3.1,"Type G, 1000 mm x 2150 mm",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.4.5.8,Precast Concrete Coping ,? ?,, -   , -   , -   , -   , -   , 259.82 , 259.82 , 259.82 
OFFICERS APPART.,S1.P1.OA.4.6.1,"Stainless Steel Pipe Handrailing, 50 mm dia x 4350 mm long with all fixing & support",???,, 1.00 , -   , -   , -   , -   , -   , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.4.6.2,Steel Ladder with Handrail Support (40 mm dia x 5700 mm long),???,, -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.4.7.1,"TS-A, Building Numbers",???,, -   , 1.00 , -   , -   , -   , -   , 1.00 , 1.00 
OFFICERS APPART.,S1.P1.OA.5.1,Protected Membrane Roofing on Concrete Slab,?2,, -   , -   , -   , -   , -   ," 1,256.94 "," 1,256.94 "," 1,256.94 "
OFFICERS APPART.,S1.P1.OA.5.2,Protected Membrane Roofing System on Concrete Slab @ canopy,?2,, -   , 12.12 , -   , -   , -   , -   , 12.12 , 12.12 
OFFICERS APPART.,S1.P1.OA.5.4,"Precast Concrete Pavers, 400 mm x 400 mm x 30 mm thick",???,, -   , -   , -   , -   , -   , 12.00 , 12.00 , 12.00 
OFFICERS APPART.,S1.P1.OA.6.1.1,"Concrete Masonry Unit, 200 mm thick, insulated",?2,, 39.52 , 43.66 , -   , -   , -   , -   , 83.18 , 83.18 
OFFICERS APPART.,S1.P1.OA.6.1.2,"Concrete Masonry Unit, 200 mm thick",?2,," 1,001.82 "," 1,059.30 ", -   , -   , -   , -   ," 2,061.12 "," 2,061.12 "
OFFICERS APPART.,S1.P1.OA.6.1.3,"Concrete Masonry Unit, 150 mm thick",?2,, 8.54 , 8.68 , -   , -   , -   , -   , 17.22 , 17.22 
